City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
297,Huarmey,-10.0681,-78.1522,19.57,81,4,4.36,PE,1691108239
298,Selfoss,63.9331,-20.9971,9.47,83,80,2.48,IS,1691108240
299,Brisas Barra De Suchiate,14.55,-92.2167,30.1,74,90,3.54,MX,1691108240
300,San Andres,12.5847,-81.7006,29.01,84,40,3.6,CO,1691108235
301,Sechenovo,55.2244,45.8906,18.23,85,61,1.76,RU,1691108241
302,Bodaybo,57.8506,114.1933,20.54,63,1,0.98,RU,1691108241
303,Ende,-8.8432,121.6623,26.3,63,10,0.73,ID,1691108242
304,Umba,66.6871,34.3429,13.6,91,88,4.84,RU,1691108242
305,Zeya,53.75,127.2667,20.15,42,60,3.49,RU,1691107965
306,Avarua,-21.2078,-159.775,22.03,88,75,5.14,CK,1691108242
307,Puerto Princesa,9.7392,118.7353,27.99,83,20,5.14,PH,1691108243
308,Macapa,0.0389,-51.0664,24.99,100,40,5.1,BR,1691107979
309,Puerto Deseado,-47.7503,-65.8938,8.3,45,92,12.99,AR,1691108243
310,Oltinko'L,40.8011,72.1634,26.89,20,3,2.45,UZ,1691108243
311,Igarka,67.4667,86.5833,14.4,61,22,6.41,RU,1691108244
312,Kozani,40.3011,21.7864,22.38,60,0,2.06,GR,1691108244
313,Ketchikan,55.3422,-131.6461,16.99,62,32,1.67,US,1691108244
314,Dubbo,-32.25,148.6167,12.07,71,91,2.06,AU,1691108067
315,Gargalianoi,37.0667,21.6333,25.2,84,0,2.88,GR,1691108245
316,Shimoda,34.6667,138.95,30.2,73,12,6.03,JP,1691108245
317,Kurumkan,54.3,110.3,19.63,77,70,1.05,RU,1691108246
318,Laguna,38.421,-121.4238,33.08,42,0,4.63,US,1691108246
319,Isla Vista,34.4133,-119.861,29.23,47,0,3.58,US,1691108246
320,Pisco,-13.7,-76.2167,19.03,77,0,6.17,PE,1691108247
321,Sao Miguel Do Araguaia,-13.275,-50.1628,26.93,31,70,1.34,BR,1691108247
322,Tosontsengel,48.7567,98.2839,14.55,74,100,1.2,MN,1691108247
323,Manicore,-5.8092,-61.3003,23.88,81,83,0.95,BR,1691108247
324,Sinabang,2.4803,96.3801,26.31,81,89,1.03,ID,1691108248
325,Medicine Hat,50.0501,-110.6683,31.24,29,75,4.63,CA,1691108163
326,Shenkursk,62.1091,42.896,16.42,91,15,2.05,RU,1691108248
327,Pudozh,61.8099,36.5345,18.02,86,51,3.03,RU,1691108248
328,Dan Sadau,11.2962,6.4952,21.97,96,51,2.33,NG,1691108249
329,Mont-Laurier,46.5501,-75.4993,16.79,91,50,0.96,CA,1691108249
330,Cassilandia,-19.1133,-51.7342,22.19,31,0,1.59,BR,1691108249
331,Tazacorte,28.629,-17.9293,24.54,94,100,5.66,ES,1691108249
332,Daru,-9.0763,143.2092,26.52,67,56,7.62,PG,1691108250
333,Mwinilunga,-11.7358,24.4293,13.21,58,0,2.59,ZM,1691108250
334,Fontanelas,38.8472,-9.4372,18.42,72,0,12.97,PT,1691108250
335,Sao Geraldo Do Araguaia,-6.4006,-48.555,30.45,31,97,0.29,BR,1691108175
336,Queenstown,-31.8976,26.8753,8.16,53,4,3.16,ZA,1691108251
337,Kristiansund,63.1115,7.732,13.36,88,75,3.6,NO,1691108252
338,Mazatan,14.8667,-92.45,30.04,100,75,0.0,MX,1691108252
339,Pandan,14.0453,124.1694,29.43,71,85,5.26,PH,1691108252
340,Mhamid,29.82,-5.72,33.91,6,0,2.15,MA,1691108252
341,Christchurch,-43.5333,172.6333,13.01,77,53,4.63,NZ,1691108214
342,Alto Parana,-23.1289,-52.3189,20.46,48,0,0.55,BR,1691108253
343,Columbus,39.9612,-82.9988,28.51,62,75,4.12,US,1691107835
344,Norilsk,69.3535,88.2027,18.57,42,34,1.84,RU,1691108254
345,Utrik,11.2278,169.8474,28.66,76,82,6.76,MH,1691108254
346,La'Ie,21.6477,-157.9253,30.98,63,14,3.58,US,1691108254
347,Rikaze,29.25,88.8833,15.03,58,99,1.43,CN,1691108254
348,Kanniyakumari,8.0833,77.5667,25.91,82,38,8.38,IN,1691108255
349,Viedma,-40.8135,-62.9967,7.61,34,0,5.31,AR,1691108255
350,Kiunga,-6.1219,141.2906,24.42,83,100,1.97,PG,1691108255
351,Alibag,18.6411,72.8792,27.04,85,97,6.47,IN,1691108255
352,Tobruk,32.0836,23.9764,26.79,74,0,3.04,LY,1691108255
353,Krasnyy Chikoy,50.3643,108.7512,14.76,98,100,0.58,RU,1691108256
354,Sarmiento,-45.5882,-69.07,6.17,51,94,12.97,AR,1691108256
355,Erenhot,43.6475,111.9767,26.52,40,94,4.88,CN,1691108256
356,Alaghsas,17.0187,8.0168,33.2,34,36,4.75,NE,1691108256
357,Istra,55.9178,36.8642,20.19,90,35,2.07,RU,1691107989
358,Ust'-Kulom,61.6864,53.6902,16.82,80,82,1.12,RU,1691108257
359,Makushino,55.2103,67.2442,16.22,95,24,2.55,RU,1691108257
